Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
Standard,14,27-09-2022,30-06-2023,United Kingdom,35,Male,Laptop,1 Month
Premium,13,30-09-2022,01-07-2023,Australia,27,Female,Tablet,1 Month
Basic,13,04-10-2022,28-06-2023,Germany,32,Male,Laptop,1 Month
Premium,12,24-10-2022,01-07-2023,France,46,Female,Smartphone,1 Month
Basic,12,28-10-2022,30-06-2023,Brazil,36,Male,Smart TV,1 Month
Standard,13,02-11-2022,01-07-2023,Mexico,39,Male,Laptop,1 Month
Standard,12,07-11-2022,28-06-2023,Spain,48,Female,Smart TV,1 Month
Basic,10,10-11-2022,30-06-2023,Italy,48,Female,Smart TV,1 Month
Premium,14,15-11-2022,29-06-2023,Spain,27,Female,Laptop,1 Month
Basic,13,08-11-2022,01-07-2023,Spain,45,Male,Tablet,1 Month
Standard,10,01-11-2022,27-06-2023,United States,30,Male,Laptop,1 Month
Premium,15,30-10-2022,29-06-2023,Canada,29,Male,Tablet,1 Month
Basic,12,28-10-2022,29-06-2023,United States,43,Female,Laptop,1 Month
Premium,10,26-10-2022,30-06-2023,United States,43,Male,Laptop,1 Month
Basic,15,18-10-2022,29-06-2023,Canada,39,Female,Tablet,1 Month
Standard,14,30-09-2022,30-06-2023,United Kingdom,27,Male,Tablet,1 Month
Standard,10,03-09-2022,29-06-2023,Australia,33,Female,Tablet,1 Month
Basic,10,23-08-2022,29-06-2023,Germany,32,Female,Tablet,1 Month
Premium,10,16-08-2022,29-06-2023,France,37,Female,Tablet,1 Month
Basic,13,11-08-2022,30-06-2023,Brazil,45,Male,Smartphone,1 Month
Standard,10,01-08-2022,30-06-2023,Mexico,40,Female,Smartphone,1 Month
Premium,14,01-08-2022,29-06-2023,Spain,44,Male,Laptop,1 Month
Basic,12,01-08-2022,29-06-2023,Italy,29,Female,Tablet,1 Month
Premium,14,02-08-2022,30-06-2023,Spain,50,Male,Laptop,1 Month
Basic,11,04-08-2022,29-06-2023,Spain,32,Female,Laptop,1 Month
Standard,14,04-08-2022,29-06-2023,United States,39,Male,Laptop,1 Month
Standard,15,07-07-2022,30-06-2023,Canada,43,Female,Smartphone,1 Month
Basic,12,27-06-2022,30-06-2023,United States,49,Female,Smartphone,1 Month
Premium,13,19-06-2022,29-06-2023,United States,30,Male,Tablet,1 Month
Basic,12,19-06-2022,29-06-2023,Canada,47,Male,Tablet,1 Month
Standard,10,18-06-2022,29-06-2023,United Kingdom,51,Female,Laptop,1 Month
Premium,14,19-06-2022,30-06-2023,Australia,40,Male,Tablet,1 Month
Basic,14,24-06-2022,28-06-2023,Germany,40,Male,Laptop,1 Month
Premium,11,30-06-2022,30-06-2023,France,49,Male,Smartphone,1 Month
Basic,15,02-07-2022,30-06-2023,Brazil,43,Female,Tablet,1 Month
Standard,14,26-06-2022,01-07-2023,Mexico,44,Female,Smartphone,1 Month
Standard,13,21-06-2022,28-06-2023,Spain,27,Male,Smartphone,1 Month
Basic,14,16-06-2022,29-06-2023,Italy,30,Male,Tablet,1 Month
Premium,14,09-06-2022,30-06-2023,Spain,47,Male,Smart TV,1 Month
Basic,13,10-06-2022,30-06-2023,Spain,51,Male,Smartphone,1 Month
Standard,15,10-06-2022,28-06-2023,United States,31,Female,Laptop,1 Month
Premium,13,11-06-2022,29-06-2023,Canada,34,Female,Tablet,1 Month
Basic,11,12-06-2022,30-06-2023,United States,28,Female,Laptop,1 Month
Basic,15,15-06-2022,30-06-2023,United States,32,Male,Smartphone,1 Month
Basic,11,25-06-2022,29-06-2023,Canada,41,Male,Smart TV,1 Month
Standard,13,30-06-2022,28-06-2023,United Kingdom,40,Male,Smart TV,1 Month
Premium,12,06-07-2022,30-06-2023,Australia,46,Male,Smart TV,1 Month
Basic,13,09-07-2022,29-06-2023,Germany,47,Male,Smart TV,1 Month
Basic,14,18-07-2022,29-06-2023,France,45,Female,Laptop,1 Month
Premium,10,24-07-2022,28-06-2023,Brazil,28,Female,Smartphone,1 Month
Standard,12,27-07-2022,30-06-2023,Mexico,43,Female,Smartphone,1 Month
Standard,11,10-08-2022,29-06-2023,Spain,41,Male,Laptop,1 Month
Basic,13,16-08-2022,30-06-2023,Italy,32,Male,Tablet,1 Month
Premium,14,23-08-2022,29-06-2023,Spain,44,Female,Smartphone,1 Month
Standard,11,03-09-2022,30-06-2023,Spain,32,Male,Laptop,1 Month
Basic,12,04-09-2022,29-06-2023,United States,47,Male,Laptop,1 Month
Standard,14,05-09-2022,29-06-2023,Canada,37,Male,Smart TV,1 Month
Premium,13,04-09-2022,01-07-2023,United States,40,Female,Smartphone,1 Month
Basic,11,31-08-2022,29-06-2023,United States,48,Female,Smart TV,1 Month
Premium,10,01-09-2022,02-07-2023,Canada,48,Male,Laptop,1 Month
Standard,10,15-09-2022,29-06-2023,United Kingdom,35,Male,Laptop,1 Month
Basic,15,18-09-2022,03-07-2023,Australia,28,Male,Smart TV,1 Month
Standard,11,28-09-2022,29-06-2023,Germany,35,Female,Smart TV,1 Month
Premium,13,30-09-2022,01-07-2023,France,43,Male,Smartphone,1 Month
Basic,15,07-10-2022,29-06-2023,Brazil,39,Male,Laptop,1 Month
Standard,10,08-10-2022,02-07-2023,Mexico,38,Female,Laptop,1 Month
Premium,14,08-10-2022,30-06-2023,Spain,36,Female,Smart TV,1 Month
Basic,11,03-10-2022,01-07-2023,Italy,42,Female,Laptop,1 Month
Premium,14,04-10-2022,28-06-2023,Spain,27,Male,Tablet,1 Month
Basic,12,02-10-2022,01-07-2023,Spain,48,Male,Laptop,1 Month
Standard,13,01-10-2022,30-06-2023,United States,27,Female,Smart TV,1 Month
Standard,15,03-10-2022,02-07-2023,Canada,49,Male,Smartphone,1 Month
Basic,11,20-10-2022,28-06-2023,United States,29,Male,Tablet,1 Month
Premium,11,21-10-2022,01-07-2023,United States,44,Male,Laptop,1 Month
Basic,11,28-10-2022,30-06-2023,Canada,31,Male,Smartphone,1 Month
Standard,13,03-11-2022,01-07-2023,United Kingdom,33,Male,Tablet,1 Month
Premium,10,07-11-2022,28-06-2023,Australia,36,Female,Smart TV,1 Month
Basic,15,12-11-2022,30-06-2023,Germany,43,Female,Laptop,1 Month
Premium,14,13-11-2022,29-06-2023,France,30,Female,Smartphone,1 Month
Basic,13,02-11-2022,01-07-2023,Brazil,44,Female,Laptop,1 Month
Standard,13,01-11-2022,29-06-2023,Mexico,37,Female,Laptop,1 Month
Standard,14,31-10-2022,30-06-2023,Spain,27,Male,Laptop,1 Month
Basic,12,28-10-2022,29-06-2023,Italy,35,Female,Laptop,1 Month
Premium,13,24-10-2022,30-06-2023,Spain,32,Male,Smart TV,1 Month
Basic,12,03-10-2022,29-06-2023,Spain,49,Female,Laptop,1 Month
Standard,12,13-09-2022,30-06-2023,United States,45,Female,Tablet,1 Month
Premium,11,02-09-2022,30-06-2023,Canada,33,Female,Smartphone,1 Month
Basic,14,30-08-2022,30-06-2023,United States,37,Female,Smartphone,1 Month
Premium,15,25-08-2022,30-06-2023,United States,29,Male,Smartphone,1 Month
Basic,12,11-08-2022,30-06-2023,Canada,45,Male,Smart TV,1 Month
Standard,11,05-08-2022,30-06-2023,United Kingdom,42,Female,Smartphone,1 Month
Standard,12,02-08-2022,30-06-2023,Australia,32,Female,Smart TV,1 Month
Basic,11,03-08-2022,01-07-2023,Germany,47,Male,Smartphone,1 Month
Premium,12,04-08-2022,01-07-2023,France,27,Male,Smart TV,1 Month
Basic,10,05-08-2022,30-06-2023,Brazil,35,Male,Tablet,1 Month
Standard,15,12-07-2022,30-06-2023,Mexico,35,Male,Laptop,1 Month
Premium,10,02-07-2022,30-06-2023,Spain,48,Male,Tablet,1 Month
Basic,12,26-06-2022,30-06-2023,Italy,36,Male,Smartphone,1 Month
Premium,10,22-06-2022,29-06-2023,Spain,46,Male,Smartphone,1 Month
Basic,13,22-06-2022,30-06-2023,Spain,33,Female,Smartphone,1 Month
Standard,14,19-06-2022,01-07-2023,United States,43,Male,Smart TV,1 Month
Standard,14,22-06-2022,02-07-2023,Canada,47,Female,Smartphone,1 Month
Basic,15,27-06-2022,28-06-2023,United States,39,Female,Laptop,1 Month
Premium,15,01-07-2022,30-06-2023,United States,30,Female,Laptop,1 Month
Basic,11,28-06-2022,30-06-2023,Canada,46,Male,Tablet,1 Month
Standard,13,25-06-2022,01-07-2023,United Kingdom,39,Male,Smart TV,1 Month
Premium,10,22-06-2022,28-06-2023,Australia,28,Male,Smartphone,1 Month
Basic,13,09-06-2022,29-06-2023,Germany,38,Male,Smartphone,1 Month
Premium,13,10-06-2022,30-06-2023,France,36,Male,Laptop,1 Month
Basic,15,11-06-2022,01-07-2023,Brazil,33,Male,Laptop,1 Month
Standard,10,11-06-2022,28-06-2023,Mexico,50,Male,Smartphone,1 Month
Standard,10,12-06-2022,29-06-2023,Spain,38,Male,Smartphone,1 Month
Basic,15,13-06-2022,30-06-2023,Italy,29,Male,Smartphone,1 Month
Premium,15,18-06-2022,30-06-2023,Spain,47,Female,Smart TV,1 Month
Basic,15,29-06-2022,30-06-2023,Spain,31,Female,Tablet,1 Month
Standard,13,30-06-2022,28-06-2023,United States,40,Male,Tablet,1 Month
Premium,14,01-07-2022,01-07-2023,Canada,50,Male,Laptop,1 Month
Basic,11,07-07-2022,30-06-2023,United States,43,Female,Tablet,1 Month
Basic,12,13-07-2022,29-06-2023,United States,35,Female,Laptop,1 Month
Basic,11,24-07-2022,29-06-2023,Canada,36,Male,Laptop,1 Month
Standard,15,29-07-2022,30-06-2023,United Kingdom,30,Male,Smartphone,1 Month
Premium,13,31-07-2022,30-06-2023,Australia,47,Female,Smartphone,1 Month
Basic,12,09-08-2022,30-06-2023,Germany,30,Female,Laptop,1 Month
Basic,11,18-08-2022,01-07-2023,France,37,Male,Smart TV,1 Month
Premium,15,20-08-2022,30-06-2023,Brazil,34,Male,Smartphone,1 Month
Standard,15,30-08-2022,30-06-2023,Mexico,33,Female,Smart TV,1 Month
Standard,10,01-09-2022,29-06-2023,Spain,31,Male,Tablet,1 Month
Basic,13,02-09-2022,03-07-2023,Italy,30,Female,Smartphone,1 Month
Premium,10,02-09-2022,29-06-2023,Spain,35,Male,Smartphone,1 Month
Standard,14,15-09-2022,02-07-2023,Spain,40,Female,Tablet,1 Month
Basic,13,17-09-2022,29-06-2023,United States,29,Male,Smartphone,1 Month
Standard,14,26-09-2022,03-07-2023,Canada,34,Female,Smart TV,1 Month
Premium,12,27-09-2022,29-06-2023,United States,31,Male,Laptop,1 Month
Basic,15,04-10-2022,01-07-2023,United States,28,Male,Laptop,1 Month
Premium,12,06-10-2022,29-06-2023,Canada,46,Female,Smart TV,1 Month
Standard,11,07-10-2022,02-07-2023,United Kingdom,38,Male,Smartphone,1 Month
Basic,13,06-10-2022,30-06-2023,Australia,35,Female,Laptop,1 Month
Standard,15,07-10-2022,03-07-2023,Germany,49,Male,Smartphone,1 Month
Premium,13,06-10-2022,29-06-2023,France,42,Male,Smartphone,1 Month
Basic,14,06-10-2022,02-07-2023,Brazil,37,Female,Laptop,1 Month
Standard,13,04-10-2022,01-07-2023,Mexico,39,Female,Smartphone,1 Month
Premium,10,14-10-2022,02-07-2023,Spain,47,Female,Smart TV,1 Month
Basic,12,19-10-2022,29-06-2023,Italy,49,Male,Smartphone,1 Month
Premium,12,21-10-2022,01-07-2023,Spain,35,Male,Laptop,1 Month
Basic,11,28-10-2022,30-06-2023,Spain,36,Female,Smart TV,1 Month
Standard,11,01-11-2022,02-07-2023,United States,40,Male,Tablet,1 Month
Standard,10,12-11-2022,29-06-2023,Canada,30,Female,Smart TV,1 Month
Basic,13,13-11-2022,30-06-2023,United States,51,Female,Smart TV,1 Month
Premium,15,09-11-2022,30-06-2023,United States,47,Male,Laptop,1 Month
Basic,12,08-11-2022,01-07-2023,Canada,47,Female,Laptop,1 Month
Standard,14,06-11-2022,30-06-2023,United Kingdom,39,Male,Tablet,1 Month
Premium,10,07-11-2022,30-06-2023,Australia,49,Male,Smart TV,1 Month
Basic,12,02-11-2022,01-07-2023,Germany,33,Male,Laptop,1 Month
Premium,10,06-10-2022,30-06-2023,France,32,Female,Smart TV,1 Month
Basic,15,16-09-2022,30-06-2023,Brazil,40,Male,Smartphone,1 Month
Standard,14,10-09-2022,30-06-2023,Mexico,40,Female,Laptop,1 Month
Standard,12,04-09-2022,30-06-2023,Spain,51,Female,Tablet,1 Month
Basic,13,26-08-2022,01-07-2023,Italy,50,Male,Smart TV,1 Month
Premium,14,14-08-2022,01-07-2023,Spain,50,Female,Smart TV,1 Month
Basic,14,12-08-2022,01-07-2023,Spain,47,Male,Smartphone,1 Month
Standard,12,10-08-2022,30-06-2023,United States,35,Male,Laptop,1 Month
Premium,11,10-08-2022,01-07-2023,Canada,31,Male,Tablet,1 Month
Basic,15,04-08-2022,01-07-2023,United States,36,Male,Smartphone,1 Month
Premium,10,05-08-2022,01-07-2023,United States,41,Female,Smart TV,1 Month
Basic,13,17-07-2022,30-06-2023,Canada,49,Female,Tablet,1 Month
Standard,12,16-07-2022,01-07-2023,United Kingdom,34,Female,Tablet,1 Month
Standard,15,13-07-2022,01-07-2023,Australia,30,Female,Tablet,1 Month
Basic,13,03-07-2022,02-07-2023,Germany,38,Male,Laptop,1 Month
Premium,11,24-06-2022,29-06-2023,France,45,Male,Tablet,1 Month
Basic,14,21-06-2022,01-07-2023,Brazil,42,Female,Laptop,1 Month
Standard,10,22-06-2022,01-07-2023,Mexico,42,Female,Smart TV,1 Month
Premium,10,23-06-2022,02-07-2023,Spain,31,Male,Smart TV,1 Month
Basic,14,26-06-2022,29-06-2023,Italy,28,Male,Smart TV,1 Month
Premium,11,27-06-2022,30-06-2023,Spain,44,Male,Tablet,1 Month
Basic,13,28-06-2022,01-07-2023,Spain,30,Male,Smart TV,1 Month
Standard,13,28-06-2022,02-07-2023,United States,33,Male,Smartphone,1 Month
Standard,12,18-06-2022,29-06-2023,Canada,42,Female,Tablet,1 Month
Basic,11,11-06-2022,30-06-2023,United States,31,Male,Smart TV,1 Month
Premium,11,11-06-2022,01-07-2023,United States,31,Female,Smartphone,1 Month
Basic,13,12-06-2022,01-07-2023,Canada,46,Female,Smart TV,1 Month
Standard,15,13-06-2022,29-06-2023,United Kingdom,28,Female,Tablet,1 Month
Premium,11,13-06-2022,29-06-2023,Australia,50,Male,Tablet,1 Month
Basic,11,18-06-2022,02-07-2023,Germany,34,Male,Tablet,1 Month
Premium,15,23-06-2022,30-06-2023,France,45,Female,Smart TV,1 Month
Basic,12,26-06-2022,30-06-2023,Brazil,38,Female,Laptop,1 Month
Standard,13,29-06-2022,29-06-2023,Mexico,42,Female,Laptop,1 Month
Standard,10,02-07-2022,01-07-2023,Spain,45,Female,Smartphone,1 Month
Basic,10,06-07-2022,30-06-2023,Italy,44,Male,Smart TV,1 Month
Premium,14,18-07-2022,30-06-2023,Spain,50,Female,Smart TV,1 Month
Basic,15,29-07-2022,30-06-2023,Spain,38,Male,Tablet,1 Month
Standard,13,30-07-2022,01-07-2023,United States,42,Female,Smart TV,1 Month
Premium,13,03-08-2022,01-07-2023,Canada,50,Male,Smart TV,1 Month
Basic,10,15-08-2022,30-06-2023,United States,30,Male,Smartphone,1 Month
Basic,10,20-08-2022,01-07-2023,United States,47,Female,Smartphone,1 Month
Basic,14,21-08-2022,30-06-2023,Canada,32,Female,Laptop,1 Month
Standard,11,30-08-2022,02-07-2023,United Kingdom,31,Female,Tablet,1 Month
Premium,15,01-09-2022,29-06-2023,Australia,37,Male,Laptop,1 Month
Basic,14,02-09-2022,03-07-2023,Germany,32,Female,Smartphone,1 Month
Basic,12,04-09-2022,30-06-2023,France,29,Male,Smartphone,1 Month
Premium,12,10-09-2022,02-07-2023,Brazil,28,Male,Tablet,1 Month
Standard,11,25-09-2022,29-06-2023,Mexico,42,Male,Laptop,1 Month
Standard,12,27-09-2022,03-07-2023,Spain,37,Male,Tablet,1 Month
Basic,13,01-10-2022,30-06-2023,Italy,38,Female,Laptop,1 Month
Premium,13,06-10-2022,02-07-2023,Spain,32,Male,Smart TV,1 Month
Standard,15,07-10-2022,30-06-2023,Spain,48,Male,Laptop,1 Month
Basic,13,08-10-2022,03-07-2023,United States,46,Female,Smart TV,1 Month
Standard,14,08-10-2022,01-07-2023,Canada,30,Male,Tablet,1 Month
Premium,10,08-10-2022,03-07-2023,United States,40,Female,Smart TV,1 Month
Basic,13,08-10-2022,29-06-2023,United States,29,Male,Smart TV,1 Month
Premium,15,08-10-2022,02-07-2023,Canada,41,Male,Tablet,1 Month
Standard,15,10-10-2022,01-07-2023,United Kingdom,32,Male,Laptop,1 Month
Basic,12,19-10-2022,02-07-2023,Australia,44,Female,Smart TV,1 Month
Standard,15,20-10-2022,29-06-2023,Germany,41,Male,Laptop,1 Month
Premium,12,26-10-2022,01-07-2023,France,50,Female,Smartphone,1 Month
Basic,14,29-10-2022,30-06-2023,Brazil,33,Female,Tablet,1 Month
Standard,10,31-10-2022,02-07-2023,Mexico,34,Female,Smart TV,1 Month
Premium,15,11-11-2022,29-06-2023,Spain,40,Male,Smartphone,1 Month
Basic,14,09-11-2022,01-07-2023,Italy,34,Female,Tablet,1 Month
Premium,14,09-11-2022,01-07-2023,Spain,27,Female,Smart TV,1 Month
Basic,13,07-11-2022,01-07-2023,Spain,34,Male,Tablet,1 Month
Standard,13,08-11-2022,30-06-2023,United States,28,Male,Tablet,1 Month
Standard,14,05-11-2022,01-07-2023,Canada,37,Female,Smart TV,1 Month
Basic,10,25-10-2022,01-07-2023,United States,27,Female,Laptop,1 Month
Premium,13,23-10-2022,02-07-2023,United States,33,Female,Laptop,1 Month
Basic,11,20-10-2022,02-07-2023,Canada,42,Male,Laptop,1 Month
Standard,11,14-10-2022,01-07-2023,United Kingdom,49,Male,Smartphone,1 Month
Premium,13,29-08-2022,30-06-2023,Australia,44,Male,Smart TV,1 Month
Basic,10,18-08-2022,01-07-2023,Germany,47,Male,Laptop,1 Month
Premium,13,13-08-2022,02-07-2023,France,33,Male,Laptop,1 Month
Basic,11,11-08-2022,02-07-2023,Brazil,37,Male,Smart TV,1 Month
Standard,10,11-08-2022,01-07-2023,Mexico,35,Male,Laptop,1 Month
Standard,11,06-08-2022,01-07-2023,Spain,34,Female,Smartphone,1 Month
Basic,10,07-08-2022,02-07-2023,Italy,44,Male,Smartphone,1 Month
Premium,15,18-07-2022,02-07-2023,Spain,29,Male,Tablet,1 Month
Basic,10,17-07-2022,30-06-2023,Spain,38,Male,Smartphone,1 Month
Standard,14,15-07-2022,02-07-2023,United States,46,Male,Smart TV,1 Month
Premium,10,14-07-2022,02-07-2023,Canada,29,Male,Tablet,1 Month
Basic,12,26-06-2022,03-07-2023,United States,48,Female,Smart TV,1 Month
Premium,10,26-06-2022,29-06-2023,United States,36,Male,Smart TV,1 Month
Basic,12,22-06-2022,01-07-2023,Canada,43,Male,Laptop,1 Month
Standard,15,23-06-2022,01-07-2023,United Kingdom,42,Female,Smart TV,1 Month
Standard,10,24-06-2022,02-07-2023,Australia,50,Male,Tablet,1 Month
Basic,13,26-06-2022,29-06-2023,Germany,39,Male,Laptop,1 Month
Premium,14,28-06-2022,01-07-2023,France,43,Female,Laptop,1 Month
Basic,10,29-06-2022,02-07-2023,Brazil,50,Female,Tablet,1 Month
Standard,12,26-06-2022,02-07-2023,Mexico,51,Male,Laptop,1 Month
Premium,14,26-06-2022,30-06-2023,Spain,40,Male,Tablet,1 Month
Basic,10,20-06-2022,30-06-2023,Italy,31,Male,Tablet,1 Month
Premium,12,18-06-2022,03-07-2023,Spain,39,Female,Smartphone,1 Month
Basic,10,16-06-2022,01-07-2023,Spain,49,Female,Tablet,1 Month
Standard,10,16-06-2022,30-06-2023,United States,34,Female,Laptop,1 Month
Standard,13,17-06-2022,30-06-2023,Canada,38,Male,Smartphone,1 Month
Basic,15,20-06-2022,02-07-2023,United States,36,Female,Laptop,1 Month
Premium,10,24-06-2022,01-07-2023,United States,42,Female,Smart TV,1 Month
Basic,14,27-06-2022,01-07-2023,Canada,50,Male,Tablet,1 Month
Standard,10,02-07-2022,01-07-2023,United Kingdom,42,Female,Laptop,1 Month
Premium,14,04-07-2022,02-07-2023,Australia,35,Female,Laptop,1 Month
Basic,15,15-07-2022,30-06-2023,Germany,46,Female,Tablet,1 Month
Premium,15,23-07-2022,01-07-2023,France,48,Male,Laptop,1 Month
Basic,12,29-07-2022,01-07-2023,Brazil,43,Female,Laptop,1 Month
Standard,13,01-08-2022,01-07-2023,Mexico,51,Female,Tablet,1 Month
Standard,13,12-08-2022,03-07-2023,Spain,45,Male,Smart TV,1 Month
Basic,10,14-08-2022,30-06-2023,Italy,46,Male,Laptop,1 Month
Premium,12,16-08-2022,04-07-2023,Spain,42,Female,Laptop,1 Month
Basic,10,26-08-2022,30-06-2023,Spain,42,Female,Smartphone,1 Month
Standard,13,31-08-2022,03-07-2023,United States,50,Male,Tablet,1 Month
Premium,12,02-09-2022,30-06-2023,Canada,28,Male,Smart TV,1 Month
Basic,15,03-09-2022,03-07-2023,United States,44,Female,Tablet,1 Month
Basic,10,05-09-2022,01-07-2023,United States,36,Male,Tablet,1 Month
Basic,14,10-09-2022,02-07-2023,Canada,37,Female,Laptop,1 Month
Standard,12,17-09-2022,01-07-2023,United Kingdom,36,Male,Smartphone,1 Month
Premium,13,28-09-2022,03-07-2023,Australia,31,Male,Smartphone,1 Month
Basic,12,02-10-2022,30-06-2023,Germany,36,Female,Smart TV,1 Month
Basic,15,05-10-2022,03-07-2023,France,39,Female,Laptop,1 Month
Premium,11,07-10-2022,30-06-2023,Brazil,45,Female,Laptop,1 Month
Standard,13,08-10-2022,03-07-2023,Mexico,29,Male,Smart TV,1 Month
Standard,15,08-10-2022,01-07-2023,Spain,45,Male,Smartphone,1 Month
Basic,11,09-10-2022,03-07-2023,Italy,29,Male,Smart TV,1 Month
Premium,10,09-10-2022,30-06-2023,Spain,28,Female,Smart TV,1 Month
Standard,12,10-10-2022,02-07-2023,Spain,42,Female,Smart TV,1 Month
Basic,11,14-10-2022,01-07-2023,United States,36,Female,Smartphone,1 Month
Standard,15,16-10-2022,03-07-2023,Canada,39,Male,Smart TV,1 Month
Premium,11,21-10-2022,29-06-2023,United States,36,Male,Smart TV,1 Month
Basic,15,25-10-2022,01-07-2023,United States,49,Male,Laptop,1 Month
Premium,11,30-10-2022,01-07-2023,Canada,32,Female,Tablet,1 Month
Standard,12,31-10-2022,02-07-2023,United Kingdom,40,Female,Smartphone,1 Month
Basic,12,08-11-2022,01-07-2023,Australia,34,Male,Smartphone,1 Month
Standard,15,09-11-2022,01-07-2023,Germany,35,Male,Smartphone,1 Month
Premium,11,07-11-2022,01-07-2023,France,44,Female,Smart TV,1 Month
Basic,13,08-11-2022,03-07-2023,Brazil,47,Female,Smartphone,1 Month
Standard,14,08-11-2022,03-07-2023,Mexico,33,Female,Laptop,1 Month
Premium,11,31-10-2022,02-07-2023,Spain,45,Male,Tablet,1 Month
Basic,14,28-10-2022,01-07-2023,Italy,42,Female,Tablet,1 Month
Premium,15,25-10-2022,02-07-2023,Spain,46,Male,Tablet,1 Month
Basic,14,18-10-2022,02-07-2023,Spain,51,Male,Tablet,1 Month
Standard,15,25-09-2022,02-07-2023,United States,41,Female,Laptop,1 Month
Standard,10,26-08-2022,01-07-2023,Canada,50,Female,Tablet,1 Month
Basic,10,20-08-2022,02-07-2023,United States,49,Female,Smartphone,1 Month
Premium,12,12-08-2022,03-07-2023,United States,34,Female,Laptop,1 Month
Basic,13,12-08-2022,03-07-2023,Canada,38,Female,Tablet,1 Month
Standard,13,11-08-2022,01-07-2023,United Kingdom,46,Male,Smart TV,1 Month
Premium,14,11-08-2022,02-07-2023,Australia,42,Male,Smart TV,1 Month
Basic,12,10-08-2022,02-07-2023,Germany,46,Male,Laptop,1 Month
Premium,10,31-07-2022,03-07-2023,France,51,Female,Smart TV,1 Month
Basic,12,17-07-2022,30-06-2023,Brazil,35,Male,Smart TV,1 Month
Standard,10,15-07-2022,02-07-2023,Mexico,34,Female,Smartphone,1 Month
Standard,14,05-07-2022,02-07-2023,Spain,31,Female,Laptop,1 Month
Basic,12,01-07-2022,03-07-2023,Italy,36,Female,Tablet,1 Month
Premium,15,01-07-2022,30-06-2023,Spain,28,Male,Smart TV,1 Month
Basic,15,26-06-2022,01-07-2023,Spain,29,Female,Smartphone,1 Month
Standard,12,27-06-2022,02-07-2023,United States,42,Female,Smart TV,1 Month
Premium,10,28-06-2022,02-07-2023,Canada,35,Female,Smartphone,1 Month
Basic,12,28-06-2022,30-06-2023,United States,32,Female,Laptop,1 Month
Premium,10,29-06-2022,01-07-2023,United States,43,Female,Tablet,1 Month
Basic,10,26-06-2022,02-07-2023,Canada,29,Male,Smartphone,1 Month
Standard,13,26-06-2022,02-07-2023,United Kingdom,35,Female,Tablet,1 Month
Standard,14,24-06-2022,30-06-2023,Australia,27,Female,Tablet,1 Month
Basic,13,21-06-2022,01-07-2023,Germany,38,Male,Tablet,1 Month
Premium,13,22-06-2022,03-07-2023,France,33,Male,Smart TV,1 Month
Basic,11,18-06-2022,02-07-2023,Brazil,48,Male,Laptop,1 Month
Standard,10,18-06-2022,02-07-2023,Mexico,51,Female,Laptop,1 Month
Premium,10,20-06-2022,01-07-2023,Spain,40,Female,Smartphone,1 Month
Basic,13,23-06-2022,03-07-2023,Italy,28,Male,Smartphone,1 Month
Premium,10,26-06-2022,01-07-2023,Spain,46,Female,Laptop,1 Month
Basic,12,02-07-2022,01-07-2023,Spain,28,Female,Tablet,1 Month
Standard,12,04-07-2022,01-07-2023,United States,47,Male,Tablet,1 Month
Standard,10,07-07-2022,02-07-2023,Canada,47,Male,Smartphone,1 Month
Basic,13,14-07-2022,01-07-2023,United States,50,Male,Smartphone,1 Month
Premium,13,20-07-2022,01-07-2023,United States,50,Female,Smart TV,1 Month
Basic,15,23-07-2022,02-07-2023,Canada,29,Male,Smartphone,1 Month
Standard,15,30-07-2022,01-07-2023,United Kingdom,38,Male,Tablet,1 Month
Premium,11,12-08-2022,03-07-2023,Australia,40,Female,Tablet,1 Month
Basic,14,14-08-2022,01-07-2023,Germany,43,Male,Smartphone,1 Month
Premium,14,22-08-2022,04-07-2023,France,27,Female,Smartphone,1 Month
Basic,10,29-08-2022,30-06-2023,Brazil,37,Female,Tablet,1 Month
Standard,12,02-09-2022,03-07-2023,Mexico,30,Male,Smartphone,1 Month
Standard,13,03-09-2022,01-07-2023,Spain,50,Male,Laptop,1 Month
Basic,11,04-09-2022,04-07-2023,Italy,51,Male,Smartphone,1 Month
Premium,13,06-09-2022,01-07-2023,Spain,37,Female,Laptop,1 Month
Basic,14,10-09-2022,02-07-2023,Spain,35,Female,Tablet,1 Month
Standard,12,20-09-2022,01-07-2023,United States,35,Male,Tablet,1 Month
Premium,11,26-09-2022,03-07-2023,Canada,46,Male,Tablet,1 Month
Basic,13,04-10-2022,01-07-2023,United States,27,Male,Tablet,1 Month
Basic,13,06-10-2022,03-07-2023,United States,27,Male,Laptop,1 Month
Basic,13,07-10-2022,01-07-2023,Canada,39,Female,Laptop,1 Month
Standard,15,08-10-2022,03-07-2023,United Kingdom,51,Male,Tablet,1 Month
Premium,14,09-10-2022,01-07-2023,Australia,41,Male,Smartphone,1 Month
Basic,15,10-10-2022,03-07-2023,Germany,30,Female,Smart TV,1 Month
Basic,11,10-10-2022,30-06-2023,France,46,Male,Laptop,1 Month
Premium,14,14-10-2022,02-07-2023,Brazil,31,Male,Tablet,1 Month
Standard,13,15-10-2022,01-07-2023,Mexico,49,Male,Smartphone,1 Month
Standard,12,17-10-2022,03-07-2023,Spain,39,Female,Tablet,1 Month
Basic,11,23-10-2022,01-07-2023,Italy,47,Male,Smartphone,1 Month
